topic,question,option1,option2,option3,option4,answer
Java,Which of the following is a valid way to declare a synchronized block in Java?,synchronized(this) { },synchronized(obj) { },Both A and B,Neither A nor B,3
Java,What is the output of the following code: System.out.println(5 + 5 + 5 + "5");?,555,105,Error,5,1
Java,Which of the following is a valid way to declare a method that throws an exception in Java?,public void myMethod() throws Exception{},void myMethod() throws Exception{},Both A and B,Neither A nor B,3
Java,What is the purpose of the 'volatile' keyword in Java?,To ensure visibility of changes to variables across threads,To create constants,To define methods,To declare variables,1
Java,Which of the following is a valid way to declare a class that extends another class in Java?,class MyClass extends AnotherClass{},class MyClass : AnotherClass{},class MyClass inherits AnotherClass{},All of the above,1
Java,What is the output of the following code: System.out.println(5 + 5 * 2);?,15,10,Error,5,2
Java,Which of the following is a valid way to declare a method that is abstract in Java?,public abstract void myMethod();,abstract void myMethod();,Both A and B,Neither A nor B,3
Java,What is the purpose of the 'native' keyword in Java?,To call native code,To create methods,To define classes,To declare variables,1
Java,Which of the following is a valid way to declare a method that is synchronized in Java?,public synchronized void myMethod(){},synchronized void myMethod(){},Both A and B,Neither A nor B,3
Java,What is the output of the following code: System.out.println(5 / 2);?,2,2.5,Error,5,1
Java,Which of the following is a valid way to declare a method that is final in Java?,public final void myMethod(){},final void myMethod(){},Both A and B,Neither A nor B,3
Java,What is the purpose of the 'strictfp' keyword in Java?,To ensure floating-point precision,To create methods,To define classes,To declare variables,1
Java,Which of the following is a valid way to declare a method that is static in Java?,public static void myMethod(){},static void myMethod(){},Both A and B,Neither A nor B,3
Java,What is the output of the following code: System.out.println(5 - 2);?,3,2,Error,5,1
Java,Which of the following is a valid way to declare a method that is private in Java?,private void myMethod(){},void myMethod() private{},Both A and B,Neither A nor B,1
Java,What is the purpose of the 'synchronized' keyword in Java?,To prevent race conditions,To create threads,To define methods,To declare variables,1
Java,Which of the following is a valid way to declare a method that is protected in Java?,protected void myMethod(){},void myMethod() protected{},Both A and B,1
Java,What is the output of the following code: System.out.println(5 + 2 * 3);?,11,16,Error,5,1
Java,Which of the following is a valid way to declare a method that is public in Java?,public void myMethod(){},void myMethod() public{},Both A and B,1
Java,What is the purpose of the 'default' keyword in a switch statement?,To provide a default case,To create a method,To define a class,To declare a variable,1
Java,Which of the following is a valid way to declare a method that is synchronized in Java?,public synchronized void myMethod(){},synchronized void myMethod(){},Both A and B,1
Java,What is the output of the following code: System.out.println(5 + 5 + 5);?,15,55,Error,5,1
Java,Which of the following is a valid way to declare a method that is abstract in Java?,public abstract void myMethod();,abstract void myMethod();,Both A and B,1
Java,What is the purpose of the 'volatile' keyword in Java?,To ensure visibility of changes to variables across threads,To create constants,To define methods,To declare variables,1
Java,Which of the following is a valid way to declare a method that is final in Java?,public final void myMethod(){},final void myMethod(){},Both A and B,1
Java,What is the output of the following code: System.out.println(5 / 2);?,2,2.5,Error,5,1
Java,Which of the following is a valid way to declare a method that is private in Java?,private void myMethod(){},void myMethod() private{},Both A and B,1
Java,What is the purpose of the 'synchronized' keyword in Java?,To prevent race conditions,To create threads,To define methods,To declare variables,1
Java,Which of the following is a valid way to declare a method that is protected in Java?,protected void myMethod(){},void myMethod() protected{},Both A and B,1
Java,What is the output of the following code: System.out.println(5 + 2 * 3);?,11,16,Error,5,1
Java,Which of the following is a valid way to declare a method that is public in Java?,public void myMethod(){},void myMethod() public{},Both A and B,1
Java,What is the purpose of the 'default' keyword in a switch statement?,To provide a default case,To create a method,To define a class,To declare a variable,1
Java,Which of the following is a valid way to declare a method that is synchronized in Java?,public synchronized void myMethod(){},synchronized void myMethod(){},Both A and B,1
Java,What is the output of the following code: System.out.println(5 + 5 + 5);?,15,55,Error,5,1
Java,Which of the following is a valid way to declare a method that is abstract in Java?,public abstract void myMethod();,abstract void myMethod();,Both A and B,1
Java,What is the purpose of the 'volatile' keyword in Java?,To ensure visibility of changes to variables across threads,To create constants,To define methods,To declare variables,1
Java,Which of the following is a valid way to declare a method that is final in Java?,public final void myMethod(){},final void myMethod(){},Both A and B,1
Java,What is the output of the following code: System.out.println(5 / 2);?,2,2.5,Error,5,1
Java,Which of the following is a valid way to declare a method that is private in Java?,private void myMethod(){},void myMethod() private{},Both A and B,1
Java,What is the purpose of the 'synchronized' keyword in Java?,To prevent race conditions,To create threads,To define methods,To declare variables,1
Java,Which of the following is a valid way to declare a method that is protected in Java?,protected void myMethod(){},void myMethod() protected{},Both A and B,1
Java,What is the output of the following code: System.out.println(5 + 2 * 3);?,11,16,Error,5,1
Java,Which of the following is a valid way to declare a method that is public in Java?,public void myMethod(){},void myMethod() public{},Both A and B,1
Java,What is the purpose of the 'default' keyword in a switch statement?,To provide a default case,To create a method,To define a class,To declare a variable,1
Java,Which of the following is a valid way to declare a method that is synchronized in Java?,public synchronized void myMethod(){},synchronized void myMethod(){},Both A and B,1
Java,What is the output of the following code: System.out.println(5 + 5 + 5);?,15,55,Error,5,1
Java,Which of the following is a valid way to declare a method that is abstract in Java?,public abstract void myMethod();,abstract void myMethod();,Both A and B,1
Java,What is the purpose of the 'volatile' keyword in Java?,To ensure visibility of changes to variables across threads,To create constants,To define methods,To declare variables,1
Java,Which of the following is a valid way to declare a method that is final in Java?,public final void myMethod(){},final void myMethod(){},Both A and B,1
Java,What is the output of the following code: System.out.println(5 / 2);?,2,2.5,Error,5,1
Java,Which of the following is a valid way to declare a method that is private in Java?,private void myMethod(){},void myMethod() private{},Both A and B,1
SQL,Which SQL clause is used to filter groups?,HAVING,WHERE,GROUP BY,ORDER BY,1
SQL,What is the purpose of the NVL function in Oracle?,Replace NULL values,Count NULL values,Find NULL values,Delete NULL values,1
SQL,Which join returns all rows when there is a match in either table?,FULL JOIN,INNER JOIN,LEFT JOIN,RIGHT JOIN,1
SQL,What does ACID stand for in database transactions?,Atomicity Consistency Isolation Durability,Accuracy Consistency Integrity Durability,Atomicity Concurrency Integrity Durability,Atomicity Consistency Independence Durability,1
SQL,Which SQL command is used to change a table's structure?,ALTER TABLE,UPDATE TABLE,MODIFY TABLE,CHANGE TABLE,1
SQL,What is the purpose of the WITH clause?,To define a temporary result set,To create a table,To update records,To delete records,1
SQL,Which function returns the current date and time?,SYSDATE,CURRENT_DATE,NOW,TODAY,1
SQL,What is a self-join?,A join of a table to itself,A join with system tables,A join with temporary tables,A join with duplicate tables,1
SQL,Which SQL operator is used for pattern matching?,LIKE,MATCH,CONTAINS,FIND,1
SQL,What is the purpose of the MERGE statement?,To perform insert/update/delete in one statement,To combine two tables,To merge databases,To split tables,1
SQL,Which constraint ensures all values in a column are unique?,UNIQUE,PRIMARY KEY,FOREIGN KEY,CHECK,1
SQL,What is the difference between CHAR and VARCHAR?,CHAR is fixed-length, VARCHAR is variable-length,CHAR is variable-length, VARCHAR is fixed-length,Both are fixed-length,Both are variable-length,1
SQL,Which SQL command is used to remove duplicate rows?,SELECT DISTINCT,SELECT UNIQUE,SELECT DIFFERENT,SELECT DISTINCTIVE,1
SQL,What is the purpose of the LAG function?,To access data from previous rows,To access data from next rows,To find maximum values,To calculate averages,1
SQL,Which SQL feature prevents SQL injection?,Prepared statements,Views,Triggers,Indexes,1
SQL,What is a correlated subquery?,A subquery that references outer query,A subquery that runs independently,A subquery that joins tables,A subquery that sorts data,1
SQL,Which SQL command is used to create a backup of a database?,BACKUP DATABASE,CREATE BACKUP,DUMP DATABASE,EXPORT DATABASE,1
SQL,What is the purpose of the CASCADE option in DROP TABLE?,To drop dependent objects,To create a backup,To rename tables,To update records,1
SQL,Which function converts a string to uppercase?,UPPER(),TOUPPER(),UCASE(),All of the above,4
SQL,What is the purpose of the ROLLUP operator?,To generate subtotals and grand totals,To roll back transactions,To update records,To delete records,1
SQL,Which SQL command is used to change a column name?,ALTER TABLE RENAME COLUMN,CHANGE COLUMN,MODIFY COLUMN,UPDATE COLUMN,1
SQL,What is a materialized view?,A physically stored query result,A virtual table,A temporary table,A system table,1
SQL,Which function extracts part of a date?,EXTRACT(),DATE_PART(),DATEPART(),All of the above,4
SQL,What is the purpose of the SAVEPOINT command?,To set a point to roll back to,To save data permanently,To create a backup,To update records,1
SQL,Which SQL command is used to analyze query performance?,EXPLAIN,ANALYZE,DEBUG,PROFILE,1
SQL,What is the purpose of the OFFSET clause?,To skip rows in results,To limit rows,To filter rows,To sort rows,1
SQL,Which function returns the position of a substring?,INSTR(),CHARINDEX(),POSITION(),All of the above,4
SQL,What is a covering index?,An index that contains all columns needed by a query,An index that covers multiple tables,An index that includes all table data,An index that covers system tables,1
SQL,Which SQL command is used to create a synonym?,CREATE SYNONYM,MAKE SYNONYM,NEW SYNONYM,DEFINE SYNONYM,1
SQL,What is the purpose of the FETCH clause?,To limit rows returned,To filter data,To sort data,To group data,1
SQL,Which function converts a date to a string?,TO_CHAR(),FORMAT(),CAST(),All of the above,4
SQL,What is the purpose of the TABLESAMPLE clause?,To retrieve random sample of rows,To create sample tables,To analyze table structure,To backup tables,1
SQL,Which SQL command is used to create a role?,CREATE ROLE,MAKE ROLE,NEW ROLE,DEFINE ROLE,1
SQL,What is the purpose of the PARTITION BY clause?,To divide result sets into partitions,To create table partitions,To backup partitions,To delete partitions,1
SQL,Which function calculates a moving average?,Window functions with AVG(),MOVING_AVG(),AVG() with GROUP BY,ROLLING_AVG(),1
SQL,What is the purpose of the UNPIVOT operator?,To transform columns into rows,To transform rows into columns,To delete pivot tables,To create pivot tables,1
SQL,Which SQL command is used to create a database snapshot?,CREATE DATABASE SNAPSHOT,MAKE SNAPSHOT,NEW SNAPSHOT,DEFINE SNAPSHOT,1
SQL,What is the purpose of the XML functions in SQL?,To handle XML data,To create XML data,To convert XML data,To delete XML data,1
SQL,Which function returns the last day of the month?,LAST_DAY(),EOMONTH(),MONTH_END(),Both A and B,4
SQL,What is the purpose of the SEQUENCE object?,To generate unique numbers,To sort data,To sequence operations,To order tables,1
SQL,Which SQL command is used to create a full-text index?,CREATE FULLTEXT INDEX,MAKE FULLTEXT INDEX,NEW FULLTEXT INDEX,DEFINE FULLTEXT INDEX,1
SQL,What is the purpose of the TRY_CONVERT function?,To convert data types with error handling,To try different conversions,To test conversions,To verify data types,1
SQL,Which function returns the current session user?,USER,SESSION_USER,CURRENT_USER,All of the above,4
SQL,What is the purpose of the CUME_DIST function?,To calculate cumulative distribution,To count distinct values,To sum values,To find maximum values,1
SQL,Which SQL command is used to create a spatial index?,CREATE SPATIAL INDEX,MAKE SPATIAL INDEX,NEW SPATIAL INDEX,DEFINE SPATIAL INDEX,1
SQL,What is the purpose of the NTILE function?,To divide rows into buckets,To count rows,To sum values,To find maximum values,1
SQL,Which function returns the database name?,DB_NAME(),DATABASE(),CURRENT_DATABASE(),All of the above,4
SQL,What is the purpose of the PERCENT_RANK function?,To calculate relative rank of rows,To calculate percentages,To rank values,To find maximum values,1
SQL,Which SQL command is used to create a memory-optimized table?,CREATE MEMORY TABLE,CREATE INMEMORY TABLE,CREATE MEMOPT TABLE,CREATE TABLE WITH MEMORY,2
SQL,What is the purpose of the LEAD function?,To access subsequent rows,To access previous rows,To find leading values,To calculate averages,1
SQL,Which function returns the server name?,@@SERVERNAME,SERVER_NAME(),HOST_NAME(),All of the above,4
SQL,What is the purpose of the FIRST_VALUE function?,To get first value in window frame,To get first row,To find minimum values,To calculate averages,1
SQL,Which SQL command is used to create a columnstore index?,CREATE COLUMNSTORE INDEX,MAKE COLUMNSTORE INDEX,NEW COLUMNSTORE INDEX,DEFINE COLUMNSTORE INDEX,1
SQL,What is the purpose of the LAST_VALUE function?,To get last value in window frame,To get last row,To find maximum values,To calculate averages,1
SQL,Which function returns the database version?,@@VERSION,VERSION(),DB_VERSION(),All of the above,4
SQL,What is the purpose of the ROW_NUMBER function?,To assign sequential numbers to rows,To count rows,To sum values,To find maximum values,1
SQL,Which SQL command is used to create a filtered index?,CREATE FILTERED INDEX,MAKE FILTERED INDEX,NEW FILTERED INDEX,DEFINE FILTERED INDEX,1
SQL,What is the purpose of the DENSE_RANK function?,To rank rows with no gaps,To rank rows with gaps,To count distinct values,To sum values,1
SQL,Which function returns the transaction ID?,@@TRANID,TRANSACTION_ID(),CURRENT_TRANSACTION(),All of the above,4
SQL,What is the purpose of the RANK function?,To rank rows with gaps,To rank rows without gaps,To count values,To sum values,1
SQL,Which SQL command is used to create a hash index?,CREATE HASH INDEX,MAKE HASH INDEX,NEW HASH INDEX,DEFINE HASH INDEX,1
SQL,What is the purpose of the PERCENTILE_CONT function?,To calculate interpolated value at percentile,To calculate percentages,To count values,To sum values,1
SQL,Which function returns the connection ID?,@@CONNECTIONID,CONNECTION_ID(),CURRENT_CONNECTION(),All of the above,4
SQL,What is the purpose of the PERCENTILE_DISC function?,To calculate discrete value at percentile,To calculate percentages,To count values,To sum values,1
SQL,Which SQL command is used to create a clustered index?,CREATE CLUSTERED INDEX,MAKE CLUSTERED INDEX,NEW CLUSTERED INDEX,DEFINE CLUSTERED INDEX,1
SQL,What is the purpose of the LAG function?,To access previous rows,To access subsequent rows,To find minimum values,To calculate averages,1
SQL,Which function returns the schema name?,SCHEMA_NAME(),CURRENT_SCHEMA(),@@SCHEMA,All of the above,4
SQL,What is the purpose of the FIRST function?,To get first value in ordered set,To get first row,To find minimum values,To calculate averages,1
SQL,Which SQL command is used to create a nonclustered index?,CREATE NONCLUSTERED INDEX,MAKE NONCLUSTERED INDEX,NEW NONCLUSTERED INDEX,DEFINE NONCLUSTERED INDEX,1
SQL,What is the purpose of the LAST function?,To get last value in ordered set,To get last row,To find maximum values,To calculate averages,1
SQL,Which function returns the transaction timestamp?,CURRENT_TIMESTAMP,GETDATE(),SYSDATE,All of the above,4
SQL,What is the purpose of the NTH_VALUE function?,To get value at specified position,To get nth row,To find specific values,To calculate averages,1
SQL,Which SQL command is used to create a bitmap index?,CREATE BITMAP INDEX,MAKE BITMAP INDEX,NEW BITMAP INDEX,DEFINE BITMAP INDEX,1
SQL,What is the purpose of the MEDIAN function?,To calculate median value,To calculate average,To count values,To sum values,1
SQL,Which function returns the database collation?,@@COLLATION,DATABASE_COLLATION(),CURRENT_COLLATION(),All of the above,4
SQL,What is the purpose of the LISTAGG function?,To concatenate values into string,To list values,To count values,To sum values,1
SQL,Which SQL command is used to create a function-based index?,CREATE FUNCTION INDEX,MAKE FUNCTION INDEX,NEW FUNCTION INDEX,DEFINE FUNCTION INDEX,1
SQL,What is the purpose of the STDDEV function?,To calculate standard deviation,To calculate variance,To count values,To sum values,1
SQL,Which function returns the isolation level?,@@ISOLATION,ISOLATION_LEVEL(),CURRENT_ISOLATION(),All of the above,4
SQL,What is the purpose of the VARIANCE function?,To calculate variance,To calculate standard deviation,To count values,To sum values,1
SQL,Which SQL command is used to create a partitioned index?,CREATE PARTITIONED INDEX,MAKE PARTITIONED INDEX,NEW PARTITIONED INDEX,DEFINE PARTITIONED INDEX,1
SQL,What is the purpose of the CORR function?,To calculate correlation coefficient,To calculate covariance,To count values,To sum values,1
SQL,Which function returns the lock timeout setting?,@@LOCK_TIMEOUT,LOCK_TIMEOUT(),CURRENT_LOCK_TIMEOUT(),All of the above,4
SQL,What is the purpose of the COVAR_POP function?,To calculate population covariance,To calculate sample covariance,To count values,To sum values,1
SQL,Which SQL command is used to create a compressed index?,CREATE COMPRESSED INDEX,MAKE COMPRESSED INDEX,NEW COMPRESSED INDEX,DEFINE COMPRESSED INDEX,1
SQL,What is the purpose of the COVAR_SAMP function?,To calculate sample covariance,To calculate population covariance,To count values,To sum values,1
SQL,Which function returns the deadlock priority?,@@DEADLOCK_PRIORITY,DEADLOCK_PRIORITY(),CURRENT_DEADLOCK_PRIORITY(),All of the above,4
SQL,What is the purpose of the REGR_* linear regression functions?,To perform linear regression,To calculate correlations,To count values,To sum values,1
SQL,Which SQL command is used to create a descending index?,CREATE DESCENDING INDEX,MAKE DESCENDING INDEX,NEW DESCENDING INDEX,DEFINE DESCENDING INDEX,1
SQL,What is the purpose of the STATS_MODE function?,To calculate statistical mode,To calculate median,To count values,To sum values,1
SQL,Which function returns the transaction state?,XACT_STATE(),@@TRAN_STATE,TRANSACTION_STATE(),All of the above,4
SQL,What is the purpose of the WIDTH_BUCKET function?,To create equi-width histograms,To create buckets,To count values,To sum values,1
SQL,Which SQL command is used to create a clustered columnstore index?,CREATE CLUSTERED COLUMNSTORE INDEX,MAKE CLUSTERED COLUMNSTORE INDEX,NEW CLUSTERED COLUMNSTORE INDEX,DEFINE CLUSTERED COLUMNSTORE INDEX,1
SQL,What is the purpose of the GROUPING function?,To identify super-aggregate rows,To group data,To count values,To sum values,1
SQL,Which function returns the last identity value generated?,@@IDENTITY,LAST_INSERT_ID(),SCOPE_IDENTITY(),All of the above,4
SQL,What is the purpose of the GROUPING_ID function?,To compute bitmap of grouping columns,To group data,To count values,To sum values,1
SQL,Which SQL command is used to create a nonclustered columnstore index?,CREATE NONCLUSTERED COLUMNSTORE INDEX,MAKE NONCLUSTERED COLUMNSTORE INDEX,NEW NONCLUSTERED COLUMNSTORE INDEX,DEFINE NONCLUSTERED COLUMNSTORE INDEX,1Python,What is the correct way to create a function in Python?,def function_name():,function function_name():,create function_name():,func function_name():,1
SQL,What is the purpose of the TRIM function?,To remove leading and trailing spaces,To convert strings to uppercase,To find the length of a string,To concatenate strings,1
SQL,Which SQL command is used to create a trigger that fires before an insert?,CREATE TRIGGER BEFORE INSERT,CREATE TRIGGER BEFORE INSERT ON,CREATE TRIGGER AFTER INSERT,CREATE TRIGGER ON INSERT,1
SQL,What is the purpose of the JSON_VALUE function?,To extract a scalar value from a JSON string,To convert JSON to XML,To validate JSON format,To create JSON objects,1
Python,Which method is used to add an element to a list?,append(),add(),insert(),push(),1
Python,What is the purpose of the 'self' parameter in Python?,To refer to the instance of the class,To create a new object,To define a method,To declare a variable,1
Python,Which operator is used for exponentiation in Python?,**,^,//,%,1
Python,What is the purpose of the 'import' statement?,To import modules,To create functions,To define classes,To declare variables,1
Python,Which method is used to remove an element from a list?,remove(),delete(),pop(),extract(),1
Python,What is the purpose of the 'if' statement?,To make decisions,To create loops,To define functions,To declare variables,1
Python,Which function is used to get the length of a list?,len(),length(),size(),count(),1
Python,What is the purpose of the 'for' loop?,To iterate over sequences,To make decisions,To define functions,To declare variables,1
Python,Which method is used to convert string to integer?,int(),str(),float(),bool(),1
Python,What is the purpose of the 'class' keyword?,To define a class,To create an object,To define a function,To declare a variable,1
Python,Which method is used to get user input?,input(),get(),read(),scan(),1
Python,What is the purpose of the 'try-except' block?,To handle exceptions,To create loops,To define functions,To declare variables,1
Python,Which method is used to convert integer to string?,str(),int(),float(),bool(),1
Python,What is the purpose of the 'while' loop?,To repeat code while condition is true,To make decisions,To define functions,To declare variables,1
Python,Which method is used to find the maximum value?,max(),maximum(),highest(),biggest(),1
Python,What is the purpose of the 'return' statement?,To return a value from a function,To create a loop,To define a class,To declare a variable,1
Python,Which method is used to sort a list?,sort(),order(),arrange(),organize(),1
Python,What is the purpose of the 'break' statement?,To exit a loop,To continue a loop,To define a function,To declare a variable,1
Python,Which method is used to join strings?,join(),concatenate(),merge(),combine(),1
Python,What is the purpose of the 'continue' statement?,To skip the current iteration,To exit a loop,To define a function,To declare a variable,1
Python,Which method is used to split a string?,split(),divide(),separate(),break(),1
Python,What is the purpose of the 'lambda' function?,To create anonymous functions,To define classes,To create loops,To declare variables,1
Python,Which method is used to check if a key exists in a dictionary?,in,exists(),has_key(),contains(),1
Python,What is the purpose of the 'pass' statement?,To do nothing,To create a loop,To define a function,To declare a variable,1
Python,Which method is used to get the current working directory?,getcwd(),pwd(),current_dir(),work_dir(),1
Python,What is the purpose of the 'global' keyword?,To declare global variables,To create functions,To define classes,To create loops,1
Python,Which method is used to read a file?,read(),open(),load(),get(),1
Python,What is the purpose of the 'yield' keyword?,To create generators,To return values,To define functions,To create loops,1
Python,Which method is used to get the type of an object?,type(),typeof(),get_type(),object_type(),1
Python,What is the purpose of the 'def' keyword?,To define a function,To declare a variable,To create a class,To import a module,1
Python,Which operator is used for floor division in Python?,//,/,%,**,1
Python,What is the purpose of the 'with' statement?,To manage resources,To create loops,To define functions,To declare variables,1
Python,Which method is used to remove whitespace from a string?,strip(),trim(),clean(),clear(),1
Python,What is the purpose of the 'assert' statement?,To test conditions,To handle exceptions,To create loops,To define functions,1
Python,Which function is used to convert a string to lowercase?,lower(),downcase(),tolower(),casefold(),1
Python,What is the purpose of the 'map' function?,To apply a function to all items in an iterable,To filter items in an iterable,To reduce items in an iterable,To sort items in an iterable,1
Python,Which method is used to add an element at a specific index in a list?,insert(),add(),append(),extend(),1
Python,What is the purpose of the 'filter' function?,To filter items in an iterable,To map items in an iterable,To reduce items in an iterable,To sort items in an iterable,1
Python,Which method is used to reverse a list?,reverse(),invert(),flip(),backward(),1
Python,What is the purpose of the 'enumerate' function?,To get index and value pairs from an iterable,To count items in an iterable,To filter items in an iterable,To sort items in an iterable,1
Python,Which keyword is used to define a class method?,@classmethod,@staticmethod,@property,@method,1
Python,What is the purpose of the 'super()' function?,To call a method from the parent class,To create a new object,To define a function,To declare a variable,1
Python,Which method is used to convert a list to a tuple?,tuple(),list(),convert(),change(),1
Python,What is the purpose of the 'is' operator?,To check object identity,To compare values,To check type,To check membership,1
Python,Which method is used to find the index of an element in a list?,index(),find(),search(),locate(),1
Python,What is the purpose of the 'del' statement?,To delete an object,To remove an element from a list,To clear a dictionary,To free memory,1
Python,Which function is used to create a new dictionary from two lists?,dict(),zip(),combine(),merge(),1
Python,What is the purpose of the 'try-finally' block?,To ensure cleanup code runs,To handle exceptions,To create loops,To define functions,1
Python,Which method is used to get the keys of a dictionary?,keys(),get_keys(),list_keys(),dict_keys(),1
Python,What is the purpose of the 'in' keyword?,To check membership,To define a loop,To create a function,To declare a variable,1
Python,What is the purpose of the 'self' parameter in a class method?,To refer to the instance of the class,To create a new object,To define a class,To declare a variable,1
Python,Which method is used to convert a dictionary to a list of tuples?,items(),to_tuples(),convert(),dict_to_list(),1
Python,What is the purpose of the 'breakpoint()' function?,To set a breakpoint in debugging,To exit a loop,To create a function,To declare a variable,1
Python,Which method is used to get the values of a dictionary?,values(),get_values(),list_values(),dict_values(),1
Python,What is the purpose of the 'slice' notation?,To extract a portion of a sequence,To create a new list,To modify a list,To sort a list,1
Python,Which function is used to read a line from a file?,readline(),read(),get_line(),fetch_line(),1
Python,What is the purpose of the 'staticmethod' decorator?,To define a static method,To define a class method,To define an instance method,To define a property,1
Python,Which method is used to create a shallow copy of a list?,copy(),clone(),duplicate(),replicate(),1
Python,What is the purpose of the 'assertEqual' method in unit testing?,To check if two values are equal,To check if a value is true,To check if a value is false,To check if a value is not None,1
Python,Which function is used to get the absolute value of a number?,abs(),absolute(),get_abs(),modulus(),1
